"","especie","wolbachia","tratamento","data","replica","sobreviventes","DPI","catg"
"151","melanogaster","W-","FHV",2022-10-21,"R1",15,3,"melanogasterW-FHVR1"
"152","melanogaster","W-","FHV",2022-10-21,"R2",15,3,"melanogasterW-FHVR2"
"153","melanogaster","W-","FHV",2022-10-21,"R3",15,3,"melanogasterW-FHVR3"
"154","melanogaster","W-","FHV",2022-10-21,"R4",14,3,"melanogasterW-FHVR4"
"155","melanogaster","W-","FHV",2022-10-21,"R5",14,3,"melanogasterW-FHVR5"
"156","melanogaster","W-","Ringer",2022-10-21,"R1",14,3,"melanogasterW-RingerR1"
"157","melanogaster","W-","Ringer",2022-10-21,"R2",14,3,"melanogasterW-RingerR2"
"158","melanogaster","W-","Ringer",2022-10-21,"R3",14,3,"melanogasterW-RingerR3"
"159","melanogaster","W-","Ringer",2022-10-21,"R4",14,3,"melanogasterW-RingerR4"
"160","melanogaster","W-","Ringer",2022-10-21,"R5",13,3,"melanogasterW-RingerR5"
"161","baimai","W+","FHV",2022-10-21,"R1",14,2,"baimaiW+FHVR1"
"162","baimai","W+","FHV",2022-10-21,"R2",14,2,"baimaiW+FHVR2"
"163","baimai","W+","FHV",2022-10-21,"R3",14,2,"baimaiW+FHVR3"
"164","baimai","W+","FHV",2022-10-21,"R4",14,2,"baimaiW+FHVR4"
"165","baimai","W+","FHV",2022-10-21,"R5",14,2,"baimaiW+FHVR5"
"166","baimai","W+","Ringer",2022-10-21,"R1",12,2,"baimaiW+RingerR1"
"167","baimai","W+","Ringer",2022-10-21,"R2",11,2,"baimaiW+RingerR2"
"168","baimai","W+","Ringer",2022-10-21,"R3",13,2,"baimaiW+RingerR3"
"169","baimai","W+","Ringer",2022-10-21,"R4",14,2,"baimaiW+RingerR4"
"170","baimai","W+","Ringer",2022-10-21,"R5",14,2,"baimaiW+RingerR5"
"171","baimai","W-","FHV",2022-10-21,"R1",14,2,"baimaiW-FHVR1"
"172","baimai","W-","FHV",2022-10-21,"R2",15,2,"baimaiW-FHVR2"
"173","baimai","W-","FHV",2022-10-21,"R3",14,2,"baimaiW-FHVR3"
"174","baimai","W-","FHV",2022-10-21,"R4",14,2,"baimaiW-FHVR4"
"175","baimai","W-","FHV",2022-10-21,"R5",15,2,"baimaiW-FHVR5"
"176","baimai","W-","Ringer",2022-10-21,"R1",14,2,"baimaiW-RingerR1"
"177","baimai","W-","Ringer",2022-10-21,"R2",14,2,"baimaiW-RingerR2"
"178","baimai","W-","Ringer",2022-10-21,"R3",13,2,"baimaiW-RingerR3"
"179","baimai","W-","Ringer",2022-10-21,"R4",14,2,"baimaiW-RingerR4"
"180","baimai","W-","Ringer",2022-10-21,"R5",10,2,"baimaiW-RingerR5"
"181","triauraria","W+","FHV",2022-10-21,"R1",7,2,"triaurariaW+FHVR1"
